Code,Area_Name,London_Area,Population_Estimate,Household_Estimate,Inland_Area,Population_Density,Mean_Age,Population_0_15,Working_Age_Population,Population_65,Domestic_Migration,International_Migration,Net_Immigration,Born_Abroad,Largest_Mig_Pop,Second_Largest_Mig_Pop,Third_Largest_Mig_Pop,BAME_Population,English_Not_First_Lang,Overseas_National,New_Migrant_Rate,Employment_Rate,Male_Employment,Female_Employment,Unemployment,Youth_Unemployment,Youth_NEET,Working_Age_Benefits,Working_Age_Disability,No_Qualifications,Degree,GAP,Male_GAP,Fem_GAP,Median_Income,Volunteer,Jobs,Employed_Public_Sector,Job_Density,Active_Businesses,Business_Survival,Crime_Per_Thousand,Fires_Per_Thousand,Ambulance_Per_Hundred,House_Price,Council_Tax,Net_New_Homes,House_Owned,House_Bought,House_Council,House_Landlord,Greenspace,Carbon_Emissions,Recycling,Cars,Cars_Per_Household,Cycle,Public_Trans_Access,High_Grades,Child_Care,Pupil_English_Not_First,Male_Life_Expectancy,Female_Life_Expectancy,Teenage_Conception,Life_Satisfaction,Worthwhileness,Happiness,Anxiety,Childhood_Obesity,Diabetes,Preventable_Deaths,Council_Party,Tories,Labour,Lib_Dems,Turnout
E09000001,City of London,Inner London,8800,5325.81769,290.3934,30.30371902,43.2,11.4,73.1,15.5,-7,665,30,NA,2.779661017,1.993220339,1.857627119,27.46748713,17.13810316,975,152.2248244,64.6,NA,NA,NA,1.633986928,NA,3.43481655,NA,NA,NA,NA,NA,NA,63620,NA,500400,3.42498794,84.29,26130,64.3,NA,12.27848101,NA,799999,931.2,80,NA,NA,NA,NA,4.8,1036.109362,34.4,1692,0.385860889,16.85317533,7.862302333,78.6,101,NA,NA,NA,NA,6.59,7.08,5.99,5.57,NA,2.637945134,128.8330524,NA,NA,NA,NA,NA
E09000002,Barking and Dagenham,Outer London,209000,78188.37672,3610.7817,57.88220318,32.9,27.2,63.1,9.7,-1176,2509,2356,37.8,4.676969087,2.347359758,2.33283668,49.53176337,18.72420091,7538,59.13965841,65.8,75.6,56.5,11,4.496663766,5.7,10.52871074,17.2,11.3,32.2,27886,30104,24602,29420,20.52970603,58900,21.10453649,0.48,6560,73,83.35905985,3.030150754,13.66934673,243500,1354.03,730,16.43791105,27.35449323,35.91723206,20.29036367,33.6,643.7882438,23.4,56966,0.817525581,8.780452077,2.970625857,58,69,41.66782875,77.6,82.1,32.4,7.14,7.6,7.05,3.05,28.54195323,7.272107818,227.6049335,Lab,0,100,0,36.49736245
E09000003,Barnet,Outer London,389600,151422.9637,8674.8314,44.91153569,37.3,21.1,64.9,14,-3379,5407,2757,35.2,3.06184867,2.417042196,2.032066355,38.66373395,23.40503656,13094,53.11364226,68.5,74.5,62.9,8.5,1.937492059,2.5,6.202135254,14.9,5.2,49,33443,36475,31235,40530,33.17655799,167300,18.66666667,0.67,26190,73.8,62.73842552,1.624,11.11306667,445000,1397.07,1460,32.39007274,25.15515918,11.07496619,31.0822764,41.3,1415.10737,38,144717,1.06475323,7.364568864,2.996700917,67.3,35,46.00964234,82.1,85.1,12.8,7.48,7.76,7.37,2.75,20.65793142,6.026084185,133.7696319,Cons,50.79365079,0,1.587301587,40.48099236
E09000004,Bexley,Outer London,244300,97735.84095,6058.0668,40.32639587,39,20.6,62.9,16.6,413,760,1095,16.1,2.59098178,1.466829312,0.906477239,21.40626575,6.031288965,2198,14.43355835,75.1,82.1,68.5,7.6,2.853709823,3.4,6.776811746,15.9,10.8,33.5,34350,37881,28924,36990,22.13447998,80700,15.87982833,0.56,9075,73.5,51.82794154,2.269681742,11.75502513,275000,1472.43,-130,38.08545216,35.31847969,15.21258191,11.38348624,31.7,974.6212594,54,108507,1.171731243,10.55701457,2.552133576,60.3,46,32.62319003,80.4,84.4,19.5,7.38,7.7,7.21,3.29,22.7093065,6.859383402,164.2858714,Cons,71.42857143,23.80952381,0,39.63082938
E09000005,Brent,Outer London,332100,121048.2747,4323.2637,76.81696585,35.6,20.9,67.8,11.3,-7739,7640,3372,53.9,9.173079704,3.397972463,2.850441013,64.85633923,37.15111978,22162,100.8909102,69.5,76,62.6,7.5,3.078244685,2.6,8.25810446,17.7,6.2,45.1,29812,30129,29600,32140,17.25858577,133600,17.62652705,0.61,15745,74.4,78.80188108,1.821006837,12.07924177,407250,1377.24,1050,22.23070682,22.64830812,20.36462559,34.75635947,21.9,1175.073235,35.2,87802,0.796130062,7.873874638,3.65371282,60.1,45,37.63620671,80.1,85.1,18.5,7.25,7.35,7.22,2.92,24.34435576,7.920347543,169.3560552,Lab,9.523809524,88.88888889,1.587301587,36.27198113
E09000006,Bromley,Outer London,327900,140602.2913,15013.4892,21.8403594,40.2,19.9,62.6,17.5,1342,796,1445,18.3,1.122847391,1.052386616,0.74307028,18.94814998,5.792821368,2924,14.37024514,75.3,80.4,70.4,5.3,2.538071066,4.3,6.010536869,15.9,4.3,46.7,37682,42026,32491,43060,28.97258431,127800,13.94910462,0.6,15695,78.6,64.13357702,2.332089552,11.24471393,374975,1347.27,700,37.77092339,34.91684678,13.16642651,14.14580331,57.8,1179.800587,48,153908,1.176109184,12.97675352,2.779858887,68,40,38.9381745,81.4,84.9,16.7,7.54,7.86,7.44,3.26,15.99878567,5.242388605,148.495392,Cons,85,11.66666667,0,40.83397801
E09000007,Camden,Inner London,242500,107654.1353,2178.9295,111.2931832,36.4,17.3,71,11.7,-2917,7504,1618,41.4,2.842904991,2.699035119,2.365002859,34.59337688,23.46326306,10384,60.69710485,69.2,72.2,66.1,4,3.631151457,4.4,8.528223803,21.3,6.1,61.1,39796,NA,36632,43750,21.9178877,377400,12.39193084,2.23,31385,73.6,123.4987093,2.6957638,14.80316645,700000,1359.66,970,18.54224297,15.11152365,34.38531031,31.96092307,24.8,1288.31787,26.3,46601,0.47779236,18.8181403,5.690268566,62.7,41,25.2327138,81.8,86.7,16.8,7.14,7.38,7.11,3.61,21.32667618,3.858989428,163.7516123,Lab,22.22222222,74.07407407,1.851851852,38.67946406
E09000008,Croydon,Outer London,386500,159010.0652,8650.3635,44.68020332,37,22,64.9,13,-2605,2438,3164,29.4,3.638084859,2.542806664,1.475873608,49.9178916,14.49526773,7946,32.28375249,75.4,81.8,69.5,4.1,4.803650775,3.3,7.78044123,17.5,7,40.6,32696,35839,29819,37000,27.18704922,141600,20.1188455,0.58,15540,75.3,77.03513328,2.226645435,12.79750531,300000,1494.13,2040,30.7700111,33.57489301,16.72277699,18.63623395,37.1,1237.287433,39.9,140049,0.965788566,12.76042414,3.224080362,57.7,86,36.712451,80.3,83.6,28.4,7.1,7.57,7.18,3.3,24.48143406,6.483703876,178.2122819,Lab,42.85714286,57.14285714,0,38.60078635
E09000009,Ealing,Outer London,351600,132662.9665,5554.4305,63.30081905,36.2,21.4,66.8,11.8,-6473,4007,3404,47.4,7.62891898,6.354576317,2.264742989,53.45469818,33.87848658,14927,65.15182597,72.7,81.2,63.8,5.8,2.955632306,3,7.895736128,15.2,9.1,49.7,31331,32185,29875,36070,32.07985674,160500,13.57466063,0.71,18700,75.8,75.47577476,1.888535951,11.323419,430000,1335.93,720,20.11813913,30.23994717,14.2801585,34.97431758,30.9,1341.638685,40.1,112845,0.909438919,15.03581293,3.302496438,62.1,46,43.6061913,80.6,84.2,17.8,7.29,7.57,7.26,3.57,23.82279186,6.919389391,163.5409217,Lab,17.39130435,76.8115942,5.797101449,41.1755458
E09000010,Enfield,Outer London,333000,130327.7422,8083.1971,41.1965706,36.3,22.8,64.4,12.8,-2077,3164,2769,35,4.470246363,3.557187022,1.923729302,42.28840939,22.85315024,9259,43.75770923,73,80.4,66,3.8,3.340306363,3.1,9.258165286,18.4,4.5,43.4,31603,35252,30222,33110,22.43595659,128800,21.65354331,0.62,13925,74.2,69.37390024,2.228377962,12.16004925,320000,1420.17,670,25.59766455,36.2107954,17.19594927,20.99559078,45.6,1245.042473,38.5,119653,0.997806798,7.882715702,2.971487798,59.9,43,55.3252638,80.7,84.1,24.6,7.26,7.57,7.33,2.6,25.18787251,7.042382383,151.9680419,Lab,34.92063492,65.07936508,0,38.17948889
