SOUID,    DATE,   TG, Q_TG
107054,19600101,  106,    0
107054,19600102,   61,    0
107054,19600103,   84,    0
107054,19600104,   94,    0
107054,19600105,   89,    0
107054,19600106,   36,    0
107054,19600107,    2,    0
107054,19600108,   16,    0
107054,19600109,   11,    0
107054,19600110,    8,    0
107054,19600111,   25,    0
107054,19600112,   11,    0
107054,19600113,  -14,    0
107054,19600114,  -20,    0
107054,19600115,   -2,    0
107054,19600116,   14,    0
107054,19600117,    6,    0
107054,19600118,   22,    0
107054,19600119,   64,    0
107054,19600120,   25,    0
107054,19600121,   53,    0
107054,19600122,   78,    0
107054,19600123,  108,    0
107054,19600124,  100,    0
107054,19600125,   53,    0
107054,19600126,   25,    0
107054,19600127,   48,    0
107054,19600128,   48,    0
107054,19600129,   50,    0
107054,19600130,   61,    0
107054,19600131,   89,    0
107054,19600201,   56,    0
107054,19600202,   70,    0
107054,19600203,  100,    0
107054,19600204,   70,    0
107054,19600205,   53,    0
107054,19600206,   28,    0
107054,19600207,   30,    0
107054,19600208,   22,    0
107054,19600209,   39,    0
107054,19600210,   44,    0
107054,19600211,   25,    0
107054,19600212,   25,    0
107054,19600213,   20,    0
107054,19600214,   28,    0
107054,19600215,   17,    0
107054,19600216,   20,    0
107054,19600217,    8,    0
107054,19600218,   11,    0
107054,19600219,   42,    0
107054,19600220,   48,    0
107054,19600221,   47,    0
107054,19600222,   42,    0
107054,19600223,   44,    0
107054,19600224,   16,    0
107054,19600225,   53,    0
107054,19600226,   84,    0
107054,19600227,   94,    0
107054,19600228,  120,    0
107054,19600229,  130,    0
107054,19600301,  108,    0
107054,19600302,  108,    0
107054,19600303,   97,    0
107054,19600304,   70,    0
107054,19600305,   72,    0
107054,19600306,   61,    0
107054,19600307,   39,    0
107054,19600308,   30,    0
107054,19600309,   48,    0
107054,19600310,   89,    0
107054,19600311,   86,    0
107054,19600312,   80,    0
107054,19600313,   89,    0
107054,19600314,   97,    0
107054,19600315,  117,    0
107054,19600316,   67,    0
107054,19600317,   50,    0
107054,19600318,   50,    0
107054,19600319,   58,    0
107054,19600320,   64,    0
107054,19600321,   64,    0
107054,19600322,   70,    0
107054,19600323,   80,    0
107054,19600324,   89,    0
107054,19600325,  100,    0
107054,19600326,   66,    0
107054,19600327,   66,    0
107054,19600328,   56,    0
107054,19600329,   47,    0
107054,19600330,   64,    0
107054,19600331,   84,    0
107054,19600401,   67,    0
107054,19600402,  100,    0
107054,19600403,  111,    0
107054,19600404,  112,    0
107054,19600405,  114,    0
107054,19600406,  117,    0
107054,19600407,  133,    0
107054,19600408,  128,    0
107054,19600409,  112,    0
107054,19600410,  106,    0
107054,19600411,   89,    0
107054,19600412,   70,    0
107054,19600413,  120,    0
107054,19600414,   92,    0
107054,19600415,   78,    0
107054,19600416,   64,    0
107054,19600417,   56,    0
107054,19600418,   66,    0
107054,19600419,   89,    0
107054,19600420,  119,    0
107054,19600421,  106,    0
107054,19600422,   98,    0
107054,19600423,   92,    0
107054,19600424,  100,    0
107054,19600425,   92,    0
107054,19600426,   98,    0
107054,19600427,   78,    0
107054,19600428,   70,    0
107054,19600429,   78,    0
107054,19600430,   80,    0
107054,19600501,   86,    0
107054,19600502,   78,    0
107054,19600503,  106,    0
107054,19600504,  106,    0
107054,19600505,  156,    0
107054,19600506,  147,    0
107054,19600507,  166,    0
107054,19600508,  170,    0
107054,19600509,  192,    0
107054,19600510,  161,    0
107054,19600511,  153,    0
107054,19600512,  158,    0
107054,19600513,  150,    0
107054,19600514,  167,    0
107054,19600515,  156,    0
107054,19600516,  158,    0
107054,19600517,  148,    0
107054,19600518,  103,    0
107054,19600519,  114,    0
107054,19600520,  100,    0
107054,19600521,  103,    0
107054,19600522,  128,    0
107054,19600523,  122,    0
107054,19600524,  144,    0
107054,19600525,  134,    0
107054,19600526,  164,    0
107054,19600527,  178,    0
107054,19600528,  161,    0
107054,19600529,  122,    0
107054,19600530,  128,    0
107054,19600531,  142,    0
107054,19600601,  156,    0
107054,19600602,  175,    0
107054,19600603,  180,    0
107054,19600604,  194,    0
107054,19600605,  208,    0
107054,19600606,  192,    0
107054,19600607,  156,    0
107054,19600608,  147,    0
107054,19600609,  147,    0
107054,19600610,  144,    0
107054,19600611,  158,    0
107054,19600612,  166,    0
107054,19600613,  138,    0
107054,19600614,  133,    0
107054,19600615,  144,    0
107054,19600616,  178,    0
107054,19600617,  212,    0
107054,19600618,  206,    0
107054,19600619,  208,    0
107054,19600620,  181,    0
107054,19600621,  194,    0
107054,19600622,  192,    0
107054,19600623,  180,    0
107054,19600624,  158,    0
107054,19600625,  192,    0
107054,19600626,  203,    0
107054,19600627,  166,    0
107054,19600628,  161,    0
107054,19600629,  134,    0
107054,19600630,  128,    0
107054,19600701,  134,    0
107054,19600702,  150,    0
107054,19600703,  156,    0
107054,19600704,  184,    0
107054,19600705,  186,    0
107054,19600706,  161,    0
107054,19600707,  164,    0
107054,19600708,  153,    0
107054,19600709,  152,    0
107054,19600710,  175,    0
107054,19600711,  158,    0
107054,19600712,  166,    0
107054,19600713,  156,    0
107054,19600714,  175,    0
107054,19600715,  156,    0
107054,19600716,  172,    0
107054,19600717,  170,    0
107054,19600718,  167,    0
107054,19600719,  164,    0
107054,19600720,  158,    0
107054,19600721,  164,    0
107054,19600722,  136,    0
107054,19600723,  136,    0
107054,19600724,  167,    0
107054,19600725,  184,    0
107054,19600726,  156,    0
107054,19600727,  158,    0
107054,19600728,  186,    0
107054,19600729,  178,    0
107054,19600730,  161,    0
107054,19600731,  152,    0
107054,19600801,  144,    0
107054,19600802,  150,    0
107054,19600803,  175,    0
107054,19600804,  172,    0
107054,19600805,  170,    0
107054,19600806,  170,    0
107054,19600807,  194,    0
107054,19600808,  172,    0
107054,19600809,  156,    0
107054,19600810,  139,    0
107054,19600811,  139,    0
107054,19600812,  138,    0
107054,19600813,  130,    0
107054,19600814,  150,    0
107054,19600815,  153,    0
107054,19600816,  147,    0
107054,19600817,  144,    0
107054,19600818,  158,    0
107054,19600819,  139,    0
107054,19600820,  170,    0
107054,19600821,  175,    0
107054,19600822,  186,    0
107054,19600823,  164,    0
107054,19600824,  178,    0
107054,19600825,  186,    0
107054,19600826,  152,    0
107054,19600827,  172,    0
107054,19600828,  166,    0
107054,19600829,  170,    0
107054,19600830,  158,    0
107054,19600831,  153,    0
107054,19600901,  172,    0
107054,19600902,  178,    0
107054,19600903,  181,    0
107054,19600904,  142,    0
107054,19600905,  139,    0
107054,19600906,  122,    0
107054,19600907,  144,    0
107054,19600908,  158,    0
107054,19600909,  162,    0
107054,19600910,  178,    0
107054,19600911,  170,    0
107054,19600912,  184,    0
107054,19600913,  161,    0
107054,19600914,  144,    0
107054,19600915,  128,    0
107054,19600916,  136,    0
107054,19600917,  136,    0
107054,19600918,  158,    0
107054,19600919,  144,    0
107054,19600920,  111,    0
107054,19600921,  117,    0
107054,19600922,  147,    0
107054,19600923,  156,    0
107054,19600924,  130,    0
107054,19600925,  125,    0
107054,19600926,  133,    0
107054,19600927,  125,    0
107054,19600928,  122,    0
107054,19600929,  134,    0
107054,19600930,  114,    0
107054,19601001,  131,    0
107054,19601002,  164,    0
107054,19601003,  150,    0
107054,19601004,  153,    0
107054,19601005,  144,    0
107054,19601006,  120,    0
107054,19601007,  150,    0
107054,19601008,  128,    0
107054,19601009,  116,    0
107054,19601010,  100,    0
107054,19601011,   84,    0
107054,19601012,   72,    0
107054,19601013,   58,    0
107054,19601014,   67,    0
107054,19601015,  100,    0
107054,19601016,  100,    0
107054,19601017,   58,    0
107054,19601018,   86,    0
107054,19601019,  116,    0
107054,19601020,  114,    0
107054,19601021,  114,    0
107054,19601022,  114,    0
107054,19601023,  111,    0
107054,19601024,  125,    0
107054,19601025,  134,    0
107054,19601026,  117,    0
107054,19601027,  128,    0
107054,19601028,  117,    0
107054,19601029,   84,    0
107054,19601030,  108,    0
107054,19601031,  111,    0
107054,19601101,  125,    0
107054,19601102,  108,    0
107054,19601103,  100,    0
107054,19601104,   86,    0
107054,19601105,   86,    0
107054,19601106,   58,    0
107054,19601107,   36,    0
107054,19601108,   33,    0
107054,19601109,   58,    0
107054,19601110,   83,    0
107054,19601111,   92,    0
107054,19601112,   72,    0
107054,19601113,   86,    0
107054,19601114,   94,    0
107054,19601115,   86,    0
107054,19601116,   64,    0
107054,19601117,   64,    0
107054,19601118,   50,    0
107054,19601119,   47,    0
107054,19601120,   67,    0
107054,19601121,   97,    0
